Id,Title,Description,Date,Start_time,End_time,Location,Organization,Category,url,Submission_source,Approved (bool),Created_at
300000,Spring 2026 Asha Running Program,"Join us this Spring for a 12-week training program - train for a 5K, 10K, or even a half-marathon! Register here: https://form.jotform.com/250147402516145 Registration Fee: $15 for new members, $10 for old members &nbsp; Running:&nbsp; Curated weekly goals for 5K, 10K, and Half Marathon training Workouts led by experienced coaches A community to stay motivated and to compete with All proceeds go towards the education of underprivileged children in India through the projects we support. For details visit&nbsp; https://atlanta.ashanet.org/ our-projects",February 7 2026,5:00 PM,5:00 PM,Georgia Tech,Asha for Education,N/A,https://gatech.campuslabs.com/engage/event/12124195,N/A,TRUE,April 19 2026
300001,What Were You Wearing ,The What Were You Wearing exhibit is an installation answering the question frequently asked of survivors; What were you wearing when it happened? This exhibit features narratives and re-creations of outfits based on survivors' experiences. This display is part of Sexual Assault Awareness Month. Please join us to unlearn one of our culture's most prevalent sexual assault myths.&nbsp; &nbsp;,April 1 2026,12:00 PM,9:00 PM,John Lewis Student Center: Southern Company Multicultural Lounge Display Cases ,Wellness Empowerment Center,N/A,https://gatech.campuslabs.com/engage/event/11189538,N/A,TRUE,April 19 2026
300002,Info Session,"During an info session, students will gain the chance to interact, network, and learn from industry leaders. Students will be exposed to internship / job opportunities for the company in attendance. Open to all individuals.&nbsp;",April 7 2026,11:00 PM,12:00 AM,"CODA (9th floor, will buzz you up upon arrival)",Society of Women in Business,N/A,https://gatech.campuslabs.com/engage/event/11840471,N/A,TRUE,April 19 2026
300003,WECE General Body Meeting,"Join Women in ECE for our weekly Thursday meeting! Each week, we will discuss different topics related to professionalism, community, school, and more.&nbsp;",April 16 2026,3:00 PM,4:00 PM,Van Leer C340,Women in ECE,N/A,https://gatech.campuslabs.com/engage/event/12086593,N/A,TRUE,April 19 2026
300004,Relaxing with Hobby Club,"Come relax with Hobby Club! It's been a long semester and we're holding a chill event to destress and take some time away from the chaos. We'll have oven-bake clay, word searches, dot to dots (1000+ dots!), brewed teas, some light music, and more!&nbsp;",April 16 2026,11:15 PM,1:00 AM,Love 183,Hobby Club@GT,N/A,https://gatech.campuslabs.com/engage/event/12296387,N/A,TRUE,April 19 2026
300005,Spring Picnic 2026,"To celebrate spring and the end of the year, we are hosting a Spring Picnic with boba, tea, and snacks! Come out to relax and enjoy the weather with us before finals!",April 19 2026,6:30 PM,9:00 PM,Tech Green,China Care Club,N/A,https://gatech.campuslabs.com/engage/event/12349952,N/A,TRUE,April 19 2026
300006,End-Of-Year Networking Social Event,"The Black Student-Athlete Association will host a post-spring game community networking event open to all Georgia Tech students. Held following the annual spring football game, this program will provide an opportunity for students to connect with student-athletes through structured networking activities and interactive engagement. The event is designed to foster meaningful dialogue, build cross-campus relationships, and provide insight into the student-athlete experience at Georgia Tech. Attendees will participate in facilitated social activities and group interactions that encourage connection, collaboration, and community-building.",April 19 2026,7:00 PM,1:00 AM,Connector Apartments,Black Student-Athletes Association at Georgia Tech,N/A,https://gatech.campuslabs.com/engage/event/12384096,N/A,TRUE,April 19 2026
300007,End-of-Year Community Building Social,"The Black Student-Athlete Association will host a poolside, post-spring game gathering to celebrate Black student-athlete achievement and strengthen community amongst its members. This event will encourage continued involvement and connection as students transition into the summer.",April 19 2026,7:30 PM,11:00 PM,The Connector Apartments Rooftop,Black Student-Athletes Association at Georgia Tech,N/A,https://gatech.campuslabs.com/engage/event/12385654,N/A,TRUE,April 19 2026
300008,GT Orchestras Spring Concert Series 2,"Join GT Orchestras on April 9th and 19th as they put on their final performances of the semester! Georgia Tech's Symphony Orchestra will lead the way on April 9th featuring soloists Adrian Cheung playing Sibelius' Violin Concerto in D minor , and Aubrey Odle performing Wagner's Tristan and Isolde . On April 19th, the student showcase includes student ensembles from across campus and Georgia Tech's Concert Orchestra playing a variety of music, from Tchaikovsky to Gynt to Hisaishi, featuring student conductors from the orchestra. Each concert will feature a small reception after!",April 19 2026,8:00 PM,11:00 PM,Ferst Center for the Arts,Orchestra Club,N/A,https://gatech.campuslabs.com/engage/event/12309970,N/A,TRUE,April 19 2026
300009,Hanging Flower Lamp Workshop,"Learn how to make your own hanging flower lights in this workshop! Celebrate this Spring season with a flower light, which is a perfect gift for your family, friends, or yourself. Look out for a RSVP",April 19 2026,9:00 PM,11:00 PM,MRDC,Invention Studio,N/A,https://gatech.campuslabs.com/engage/event/12423544,N/A,TRUE,April 19 2026
300010,ASO Showcase,"Join us for our Arab Showcase!&nbsp;where we wrap up the year with a night full of culture, talent, and community! Experience an exciting lineup of performances, music, and creative expression that highlight the richness and diversity of Arab culture. Come support your peers, celebrate everyone&rsquo;s hard work, and enjoy an unforgettable evening filled with energy, pride, and entertainment. Whether you&rsquo;re performing or cheering from the crowd, this is the perfect way to close out the year and celebrate together. Don&rsquo;t miss this special night as we bring everyone together one last time to make lasting memories!",April 19 2026,10:00 PM,1:15 AM,Alumni House - Griffin Ballroom,Arab Student Organization,N/A,https://gatech.campuslabs.com/engage/event/12346004,N/A,TRUE,April 19 2026
